cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Doublet 0,0	Doublet 0,1	Doublet 0,2	Doublet 0,3	Doublet 0,4	Doublet 0,5	Doublet 1,1	Doublet 1,2	Doublet 1,3	Doublet 1,4	Doublet 1,5	Doublet 2,2	Doublet 2,3	Doublet 2,4	Doublet 2,5	Doublet 3,3	Doublet 3,4	Doublet 3,5	Doublet 4,4	Doublet 4,5	Doublet 5,5
55	3.83557e-15	3.57308e-07	0.694325	1.57996e-06	2.26086e-16	0.252294	2.64366e-17	4.92548e-09	0.00421005	2.17797e-08	1.70782e-10	0.00152979	9.96761e-10	0.000173314	8.966e-10	6.91218e-11	6.29764e-05	0.0206199	0.000766367	6.00936e-06	0.0149851	1.98231e-09	3.1088e-11	0.000278471	8.43565e-19	2.18359e-06	0.0107454
56	5.31274e-14	0.0117686	0.582866	0.000146692	0.000216646	0.214973	3.6618e-16	0.00016223	0.00677972	2.02215e-06	4.86386e-06	0.0025005	3.28301e-05	0.0990097	2.95311e-05	1.96858e-06	0.0365169	0.0173098	0.00123413	0.00296845	0.0127684	1.84049e-07	8.85383e-07	0.000455174	8.08341e-07	0.00109483	0.00915588
57	5.55865e-31	1.4984e-06	0.331965	2.34101e-05	3.11787e-18	0.58607	3.8313e-33	2.06554e-08	0.00367188	3.22707e-07	3.28878e-08	0.00648254	4.18e-09	4.27823e-05	3.75997e-09	1.33109e-08	7.55302e-05	0.00985863	0.000668402	6.81184e-05	0.0348099	2.93716e-08	5.98666e-09	0.00118003	1.16333e-20	0.00012026	0.0249612
58	6.9719e-14	3.55981e-06	0.883758	2.84232e-05	2.36407e-34	0.0700843	4.80538e-16	4.90719e-08	0.00966012	3.91814e-07	3.50726e-08	0.000766073	9.93058e-09	0.000220234	8.93269e-09	1.41952e-08	1.74652e-05	0.0262456	0.00175846	0.000157406	0.0041627	3.56615e-08	6.38437e-09	0.00013945	8.82071e-37	1.24827e-05	0.00298495
59	2.27058e-09	7.26766e-06	0.330292	8.88036e-05	5.67586e-17	0.586042	1.565e-11	1.00185e-07	0.0042084	1.22416e-06	9.74445e-09	0.00746701	2.02742e-08	6.26947e-05	1.82369e-08	3.94393e-09	0.00011124	0.00980893	0.000766066	6.09799e-06	0.0348082	1.11418e-07	1.77381e-09	0.00135924	2.11776e-19	1.08198e-05	0.02496
60	1.8213e-17	1.362e-05	0.565293	7.65415e-05	6.10832e-14	0.373076	1.25533e-19	1.87751e-07	0.00330722	1.05512e-06	3.80026e-08	0.00218267	3.79948e-08	0.000107125	3.41769e-08	1.5381e-08	7.06995e-05	0.0167879	0.000602023	2.16832e-05	0.022159	9.60335e-08	6.91771e-09	0.000397317	2.27911e-16	1.43102e-05	0.0158896
61	1.49414e-17	1.05257e-05	0.946206	9.27866e-06	8.175e-09	0.0104807	1.02983e-19	1.45097e-07	0.00978693	1.27906e-07	2.7238e-08	0.000108406	2.9363e-08	0.00202098	2.64124e-08	1.10242e-08	2.23856e-05	0.0281002	0.00178154	0.000379385	0.000622509	1.16416e-08	4.95821e-09	1.97334e-05	3.05023e-11	4.20229e-06	0.000446383
62	2.57888e-30	1.86968e-12	0.267882	2.79345e-12	5.5511e-15	0.651793	1.77749e-32	2.57735e-14	0.00125349	3.85077e-14	1.39857e-14	0.0030499	5.21572e-15	0.00015272	4.69161e-15	5.66053e-15	0.000371587	0.00795549	0.000228176	8.28719e-05	0.0387136	3.50483e-15	2.54586e-15	0.000555182	2.0712e-17	0.000201638	0.0277604
63	2.18756e-12	4.17392e-06	0.773731	5.50839e-05	3.51269e-17	0.173872	1.50777e-14	5.75374e-08	0.00791711	7.5933e-07	1.33856e-08	0.00177913	1.16437e-08	0.000109203	1.04737e-08	5.41762e-09	2.45401e-05	0.0229781	0.00144117	2.54052e-05	0.0103272	6.91115e-08	2.43661e-09	0.00032386	1.31064e-19	5.70904e-06	0.00740537
64	4.18191e-21	3.378e-10	0.428103	3.66985e-09	3.35881e-18	0.493073	2.88238e-23	4.65657e-12	0.00608162	5.05889e-11	2.88146e-12	0.00700458	9.4234e-13	0.000101901	8.47648e-13	1.16623e-12	0.000117366	0.0127137	0.00110706	6.30561e-05	0.0292863	4.60442e-12	5.24521e-13	0.00127506	1.25322e-20	7.26256e-05	0.0210004
